Player Names,Goals,Average Goals
Yago Pikachu,10,0.29411764705882354
Rodrygo ,8,0.26666666666666666
Andres Rios,7,0.30434782608695654
Roger Guedes ,9,0.8181818181818182
Leandro Pereira ,11,0.4230769230769231
Diego Souza,11,0.34375
Pedro ,9,0.47368421052631576
Nico Lupez,11,0.4230769230769231
Nene ,8,0.27586206896551724
Ricardo Oliveira,13,0.37142857142857144
Gilberto ,8,0.4444444444444444
Henrique ,9,0.3333333333333333
Willian ,10,0.47619047619047616
Gabriel Barbosa,18,0.5294117647058824
Diego Rossi,17,0.4857142857142857
Josef Martinez,28,0.875
Zlatan Ibrahimovic,31,1.0
Chris Wondolowski,15,0.625
Nani ,12,0.46153846153846156
Kacper Przybylko,15,0.6
Kei Kamara,14,0.4827586206896552
C.J. Sapong,13,0.4482758620689655
Gyasi Zardes,13,0.4642857142857143
Heber ,15,0.8333333333333334
Mauro Manotas,13,0.4642857142857143
Brian Fernandez,11,0.6875
Alejandro Pozuelo,14,0.4375
Felipe Gutierrez,12,0.3870967741935484
Jordan Morris,13,0.4642857142857143
Raul Ruidiaz,15,0.625
Jozy Altidore,12,0.6666666666666666
Carlos Vela,36,1.0909090909090908
Nemanja Nikolic,12,0.48
Alexandru Mitrita,12,0.48
Luis Suarez,16,0.7272727272727273
Karim Benzema,21,0.5833333333333334
Joselu,11,0.3548387096774194
Carlos Fernandez,10,0.47619047619047616
Ante Budimir,13,0.3939393939393939
Mikel Oyarzabal,10,0.2777777777777778
Willian Jose,11,0.4583333333333333
Gerard Moreno,18,0.5454545454545454
Lucas Perez,11,0.3793103448275862
Loren Moron,10,0.47619047619047616
Raul Garcla,15,0.45454545454545453
Morata ,12,0.48
Angel Rodriguez,10,1.1111111111111112
Lionel Messi,25,0.78125
Sergio Ramos,11,0.3142857142857143
Lucas Ocampos,14,0.45161290322580644
Cazorla ,11,0.3793103448275862
Roger ,11,0.4230769230769231
Jaime Mata,11,0.3333333333333333
Iago Aspas,14,0.3783783783783784
Pote ,9,1.2857142857142858
Tiquinho Soares,10,0.5
Eduardo Mancha,2,0.5
Paulinho ,17,0.6296296296296297
Alex Telles,11,0.39285714285714285
Bruno Viana,2,0.25
Mehrdad Mohammadi,8,0.2962962962962963
Carlos Valenzuela,2,0.2857142857142857
Ruben Lameiras,4,0.5714285714285714
Moussa Marega,12,0.4444444444444444
Gian-Luca Waldschmidt,4,0.5714285714285714
Samuel Lino,3,0.5
Andre Andre,2,0.25
Mehdi Taremi,18,0.6923076923076923
Carlos Vinicius,18,0.9473684210526315
Sergio Oliveira,4,0.5714285714285714
Douglas Tanque,11,0.4782608695652174
Fabio Abreu,13,0.48148148148148145
Brayan Riascos,3,0.375
Alex Telles ,2,0.6666666666666666
Fabio Martins,12,0.41379310344827586
Haris  Seferovic,6,3.0
Douglas Tanque,2,0.2857142857142857
Joao Teixeira,8,0.5714285714285714
Bruno Fernandes,8,0.47058823529411764
Angel Gomes,3,0.5
Toni MartÃ­nez,10,0.37037037037037035
Pizzi ,18,0.5454545454545454
Bozhidar Kraev,8,0.2857142857142857
Sandro Lima,10,0.3448275862068966
Rodrigo Pinho,9,0.5
Rodrigo Pinho,6,0.8571428571428571
Thiago Santana,6,0.75
Everton ,2,0.25
Trincao ,8,0.47058823529411764
Andraz Sporar,2,0.6666666666666666
Ricardo Horta,12,0.3870967741935484
Bruno Duarte,2,0.3333333333333333
Nuno Santos,3,0.5
Bruno Duarte,8,0.4444444444444444
Arkadiusz Milik,11,0.5789473684210527
Romelu Lukaku,23,0.696969696969697
Francesco Caputo,21,0.6363636363636364
Edin Dzeko,16,0.5161290322580645
Andrea Petagna,12,0.36363636363636365
Cristiano Ronaldo,31,0.9393939393939394
Domenico Berardi,14,0.4827586206896552
Joao Pedro,18,0.5142857142857142
Josip Ilicic,15,0.7142857142857143
Andreas Cornelius,12,0.7058823529411765
Giovanni Simeone,12,0.35294117647058826
Ciro Immobile,36,1.0
Marco Mancosu,14,0.5
Duvan Zapata,18,0.72
Lautaro Martrinez,14,0.4827586206896552
Luis Muriel,18,1.8
Fabio Quagliarella,11,0.4230769230769231
Gianluca Lapadula,11,0.55
Ante Rebic,11,0.7333333333333333
Andrea Belotti,16,0.47058823529411764
Jadon Sancho,17,0.68
Timo Werner,28,0.8484848484848485
Wout Weghorst,16,0.5333333333333333
Andrej Kramaric,12,0.8571428571428571
Marco Reus,11,0.6111111111111112
Kai Havertz,12,0.41379310344827586
Marcus Thuram,10,0.35714285714285715
Rouwen Hennings,15,0.5555555555555556
Robert Lewandowski,34,1.096774193548387
Andre Silva,12,0.75
Florian Niederlechner,13,0.41935483870967744
Erling Haaland,12,1.0909090909090908
Jhon Cordoba,13,0.5652173913043478
Kevin Volland,10,0.4166666666666667
Nils Petersen,11,0.4583333333333333
Lars Stindl,9,0.6428571428571429
Robin Quaison,13,0.41935483870967744
Serge Gnabry,12,0.46153846153846156
Sebastian Andersson,12,0.3870967741935484
Alassane Plea,10,0.4
Neymar ,12,0.8
Dimitri Payet,9,0.4090909090909091
Mauro Icardi,12,0.8571428571428571
Memphis Depay,9,0.75
Kasper Dolberg,11,0.5
M'Baye Niang,10,0.4166666666666667
Adrien Thomasson,7,0.2916666666666667
Andy Delort,9,0.34615384615384615
Dario Benedetto,11,0.44
Wissam Ben Yedder,18,0.72
Ludovic Ajorque,8,0.3333333333333333
Islam Slimani,9,0.6428571428571429
Adrien Hunou,8,0.6153846153846154
Denis Bouanga,10,0.43478260869565216
Sehrou Guirassy,9,0.391304347826087
Ãngel Di Maria,8,0.34782608695652173
Moussa Dembele,16,0.6666666666666666
Habib Diallo,12,0.46153846153846156
Kylian Mbappe-Lottin,18,1.0588235294117647
Victor Osimhen,13,0.52
Dominic Calvert-Lewin,13,0.43333333333333335
Raul Jimenez,17,0.4594594594594595
Kevin De Bruyne,13,0.40625
Jamie Vardy,23,0.6764705882352942
Raheem Sterling,20,0.6666666666666666
Sadio Mane,18,0.5806451612903226
Chris Wood,14,0.4827586206896552
Anthony Martial,17,0.5483870967741935
Riyad Mahrez,11,0.5238095238095238
Son Heung-Min,11,0.39285714285714285
Marcus Rashford,17,0.5483870967741935
Mohamed Salah,19,0.5757575757575758
Gabriel Jesus,14,0.6666666666666666
Danny Ings,22,0.6875
Pierre-Emerick Aubameyang,22,0.6285714285714286
Harry Kane,18,0.6206896551724138
Richarlison  ,13,0.3611111111111111
Teemu Pukki,11,0.3333333333333333
Tammy Abraham,15,0.6
Sergio Aguero,16,0.8888888888888888
Dudu ,9,0.2647058823529412
Thiago Galhardo,12,0.3870967741935484
Paolo Guerrero,10,0.43478260869565216
Pepe,8,0.5714285714285714
Henrique ,10,0.30303030303030304
Giorgian de Arrascaeta,12,0.5454545454545454
Marinho ,8,0.4444444444444444
Everton ,11,0.4782608695652174
Gilberto ,14,0.5185185185185185
Michael ,10,0.2857142857142857
Carlos Sanchez,12,0.4444444444444444
Everaldo ,14,0.42424242424242425
Artur ,7,0.21875
Gabriel Barbosa,25,0.8620689655172413
Wellington Paulista,13,0.4642857142857143
Bruno Henrique,21,0.7241379310344828
Marcelo  Cirino,9,0.47368421052631576
Yeferson Soteldo,9,0.2903225806451613
Eduardo Sasha,14,0.4117647058823529
Rafael Moura,9,0.47368421052631576
Antony None,4,0.5
Quincy Promes,4,1.0
Dusan Tadic,7,0.7777777777777778
Armando Broja,5,0.8333333333333334
Steven Berghuis,9,0.9
Michael de Leeuw,5,0.625
Lois Openda,5,0.5
Danilo Nome,9,0.9
Lennart Thy,6,0.6
Donyell Malen,6,0.8571428571428571
Noni Madueke,4,1.3333333333333333
Davy Klaassen,5,0.8333333333333334
Oussama Tannane,4,0.5
Vaclav Cerny,4,0.4
Vangelis Pavlidis,4,0.4
Henk Veerman,8,0.8
Abdou Harroui,4,0.4
Rai Vloet,7,0.7
Lassina Traore,7,1.1666666666666667
Georgios Giakoumakis,9,0.9
Alex Pozuelo,9,0.375
Kevin Molino,11,0.6875
Damir Kreilach,8,0.4
Bradley Wright-Phillips,8,0.5333333333333333
Diego Rossi,14,0.7368421052631579
Nicolas Lodeiro,8,0.38095238095238093
Raul Ruidiaz,14,0.7777777777777778
Daryl Dike,8,0.47058823529411764
Gyasi Zardes,14,0.6363636363636364
Cristian Pavon,10,0.45454545454545453
Chris Mueller,10,0.5263157894736842
Romell Quioto,9,0.5
Jordan Morris,11,0.5789473684210527
Kacper Przybylko,8,0.3333333333333333
Gustavo Bou,8,0.47058823529411764
Robert Beric,13,0.5909090909090909
Ayo Akinola,9,0.8181818181818182
Jeremy Ebobisse,8,0.7272727272727273
Diego Valeri,8,0.42105263157894735
Chris Wondolowski,8,0.5714285714285714
Youssef   En-Nesyri,4,0.8
Portu ,4,0.6666666666666666
Karim Benzema,4,0.5
Carlos Soler,4,0.6666666666666666
Cristian Tello,4,0.5714285714285714
Mikel Oyarzabal,7,0.7777777777777778
Esteban Burgos,3,0.5
Lucas Perez,3,0.42857142857142855
Lionel Messi,4,0.5
Joao Felix,5,0.8333333333333334
Luis Suarez,5,1.0
Paco Alcacer,5,0.5555555555555556
Morales ,4,0.4
Federico Valverde,3,0.5
Antoine Griezmann,3,0.375
Iago Aspas,5,0.45454545454545453
Kike GarcIa,3,0.3333333333333333
Angel Rodriguez,4,1.3333333333333333
Ansu Fati,4,0.6666666666666666
Gerard Moreno,6,0.6666666666666666
Roberto Soriano,5,0.5555555555555556
Francesco Caputo,5,0.8333333333333334
Joao Pedro,6,0.6666666666666666
Alejandro Gomez,4,0.4444444444444444
Andrea Belotti,7,0.875
Gaetano Castrovilli,4,0.4444444444444444
Giovanni Simeone,5,0.625
Domenico Berardi,4,0.5
Henrikh Mkhitaryan,5,0.5555555555555556
Jordan Veretout,4,0.4444444444444444
Gervinho ,4,0.5
Lautaro MartInez,5,0.7142857142857143
Luis Muriel,4,1.3333333333333333
Cristiano Ronaldo,8,1.6
Romelu Lukaku,7,1.1666666666666667
Dries Mertens,4,0.4444444444444444
Ciro Immobile,5,0.8333333333333334
Fabio Quagliarella,5,0.625
Zlatan Ibrahimovic,10,1.6666666666666667
Hirving Lozano,4,0.4444444444444444
Lucas Alario,7,1.1666666666666667
Bas Dost,3,0.375
Serge Gnabry,4,0.5714285714285714
Wout Weghorst,6,0.75
Dani Olmo,4,0.4444444444444444
Ellyes Skhiri,3,0.375
Thomas Muller,4,0.4444444444444444
Max Kruse,6,0.8571428571428571
Andre Silva,7,0.7777777777777778
Andre Hahn,3,0.42857142857142855
Jean-Philippe Mateta,7,0.7777777777777778
Andrej Kramaric,7,1.4
Niclas Fullkrug,4,1.0
Lars Stindl,4,0.5714285714285714
Daniel Caligiuri,3,0.3333333333333333
Erling Haaland,10,1.4285714285714286
Jhon Cordoba,3,0.6
Nils Petersen,4,0.6666666666666666
Matheus Cunha,6,0.6666666666666666
Robert Lewandowski,12,1.7142857142857142
Ludovic Blas,4,0.36363636363636365
Stephane Bahoken,5,0.625
Karl Toko,5,0.5555555555555556
Kevin Volland,5,0.5555555555555556
Andy Delort,6,0.5454545454545454
Burak Yilmaz,6,0.6
Ibrahima Niane,6,1.0
Boulaye Dia,8,0.8888888888888888
Moise Kean,4,0.6666666666666666
Ignatius Ganago,4,0.6666666666666666
Irvin Cardona,5,0.8333333333333334
Wissam Ben,6,0.6
Florian Thauvin,4,0.4
Amine Gouiri,4,0.4444444444444444
Jonathan Bamba,4,0.36363636363636365
Ludovic Ajorque,4,0.36363636363636365
Kylian Mbappe-Lottin,9,1.2857142857142858
Mama Balde,4,0.5
Memphis Depay,5,0.5555555555555556
Gael Kakuta,5,0.5
James Ward-Prowse,4,0.4
Bruno Fernandes,7,0.7777777777777778
Dominic Calvert-Lewin,10,1.0
Timo Werner,4,0.4
Callum Wilson,7,0.7777777777777778
Diogo Jota,5,1.0
Wilfried Zaha,5,0.625
Jack Grealish,5,0.5555555555555556
Raul Jimenez,4,0.4
Jarrod Bowen,4,0.4
Patrick Bamford,7,0.7
Mohamed Salah,8,0.8888888888888888
Jamie Vardy,8,1.0
Harry Kane,7,0.7
Danny Ings ,5,0.7142857142857143
Neal Maupay,4,0.4444444444444444
Ollie Watkins,6,0.6666666666666666
Sadio Mane,4,0.5
Riyad Mahrez,4,0.5714285714285714
Son Heung-Min,9,0.9
Luciano ,11,0.6875
Vinicius ,7,0.4375
Marinho ,13,0.7647058823529411
Raphael Veiga,6,0.6
Luiz Adriano,7,0.5
Cleber ,5,0.29411764705882354
German Cano,10,0.5263157894736842
Pepe,7,0.4666666666666667
Brenner None,6,0.6666666666666666
Matheus Babi,6,0.35294117647058826
Nene ,7,0.3888888888888889
Bruno Henrique,5,0.3333333333333333
Thiago Galhardo,15,0.9375
Keno ,10,0.5263157894736842
Alerrandro ,5,0.5
Wellington Paulista,6,0.46153846153846156
Claudinho ,10,0.5263157894736842
Robson,6,0.2727272727272727
Pedro ,10,0.8333333333333334
Renato Kayzer,7,0.4117647058823529
Donny van de Beek,8,0.36363636363636365
Teun Koopmeiners,11,0.44
Cantalapiedra ,7,0.3333333333333333
Bryan Linssen,14,0.56
Matavz ,12,0.5
Oussama Idrissi,13,0.52
Dusan Tadic,11,0.44
Steven Berghuis,15,0.625
Chidera Ejuke,9,0.375
Myron Boadu,14,0.5833333333333334
Klaas-Jan Huntelaar,9,1.5
Vangelis Pavlidis,11,0.44
Michael de Leeuw,9,0.34615384615384615
Donyell Malen,11,0.7857142857142857
Haris Vuckic,11,0.4782608695652174
Gyrano Kerk,10,0.4166666666666667
Quincy Promes,12,0.6666666666666666
Denzel Dumfries,7,0.28
Cyriel Dessers ,15,0.5769230769230769
Cody Gakpo,7,0.5
